sample_id,accuracy,window_size
0,58.43653250773993,10.0
1,55.31636996904025,10.0
2,60.94717492260061,10.0
3,60.202205882352935,10.0
4,59.365325077399376,10.0
5,57.45452786377707,10.0
6,60.531153250774,10.0
7,57.86571207430341,10.0
8,58.40750773993808,10.0
9,56.9030572755418,10.0
10,62.20007739938081,10.0
11,57.26586687306502,10.0
12,56.68537151702786,10.0
13,55.21478328173375,10.0
14,56.85468266253869,10.0
15,56.16292569659443,10.0
16,55.843653250774004,10.0
17,54.36822755417956,10.0
18,60.3328173374613,10.0
19,56.16776315789474,10.0
20,58.34945820433437,10.0
21,56.06133900928792,10.0
22,54.344040247678016,10.0
23,56.07101393188855,10.0
24,55.86784055727554,10.0
25,59.616873065015476,10.0
26,61.07778637770898,10.0
27,57.212654798761605,10.0
28,58.18498452012383,10.0
29,54.17956656346749,10.0
30,58.48006965944273,10.0
31,55.49051857585139,10.0
32,56.41931114551083,10.0
33,54.61493808049536,10.0
34,58.015673374612994,10.0
35,57.430340557275535,10.0
36,56.87403250773993,10.0
37,57.1594427244582,10.0
38,56.62732198142415,10.0
39,60.79721362229103,10.0
40,55.93556501547987,10.0
41,57.73026315789474,10.0
42,57.12558049535604,10.0
43,57.86087461300309,10.0
44,60.294117647058826,10.0
45,61.83726780185757,10.0
46,62.01625386996904,10.0
47,59.2250386996904,10.0
48,57.29972910216719,10.0
49,54.62461300309598,10.0
50,58.70743034055727,10.0
51,57.55127708978329,10.0
52,57.13041795665635,10.0
53,57.73993808049536,10.0
54,56.16292569659443,10.0
55,55.97910216718267,10.0
56,60.908475232198136,10.0
57,59.80069659442725,10.0
58,59.70394736842104,10.0
59,59.30727554179567,10.0
60,57.3577786377709,10.0
61,58.7219427244582,10.0
62,60.139318885448915,10.0
63,60.3328173374613,10.0
64,55.97910216718267,10.0
65,62.51451238390094,10.0
66,57.07720588235294,10.0
67,60.057082043343655,10.0
68,59.95549535603715,10.0
69,56.21130030959753,10.0
70,52.96052631578946,10.0
71,55.248645510835914,10.0
72,56.99013157894737,10.0
73,53.618421052631575,10.0
74,61.421246130030966,10.0
75,57.62867647058823,10.0
76,57.37229102167183,10.0
77,56.34674922600619,10.0
78,58.89609133126936,10.0
79,57.706075851393194,10.0
80,58.71226780185758,10.0
81,56.46284829721362,10.0
82,57.39164086687307,10.0
83,56.7047213622291,10.0
84,59.82972136222911,10.0
85,58.61068111455108,10.0
86,57.720588235294116,10.0
87,56.31288699690403,10.0
88,55.23413312693498,10.0
89,59.59268575851392,10.0
90,57.69640092879257,10.0
91,57.648026315789465,10.0
92,55.11803405572755,10.0
93,57.70607585139318,10.0
94,53.21207430340558,10.0
95,61.934017027863774,10.0
96,58.373645510835914,10.0
97,62.708010835913306,10.0
98,56.06617647058823,10.0
99,57.54160216718266,10.0
100,58.06404798761611,10.0
101,56.965944272445824,10.0
102,63.38525541795666,10.0
103,60.753676470588246,10.0
104,60.82140092879257,10.0
105,59.91679566563467,10.0
106,58.8235294117647,10.0
107,57.681888544891635,10.0
108,62.59674922600619,10.0
109,58.2672213622291,10.0
110,60.652089783281724,10.0
111,57.64802631578947,10.0
112,57.93343653250775,10.0
113,60.637577399380795,10.0
114,52.12848297213621,10.0
115,56.62248452012384,10.0
116,59.37016253869968,10.0
117,57.183630030959755,10.0
118,56.20646284829722,10.0
119,56.815982972136226,10.0
120,57.04818111455109,10.0
121,58.838041795665646,10.0
122,55.548568111455104,10.0
123,61.40673374613002,10.0
